pf,qm
Acidobacteriota,Acidobacteria
Actinobacteriota,Actinobacteria
Armatimonadota,Armatimonadota
Bacteroidota,Bacteroidetes
Bdellovibrionota,Bdellovibrionota
Campylobacterota,Campylobacterota
Candidatus Melainabacteria,Candidatus Melainabacteria
Chlamydiae,Chlamydiae
Cyanobacteria,Cyanobacteria
Deinococcus-Thermus,Deinococcus-Thermus
Desulfobacterota,Desulfobacterota
Firmicutes,Firmicutes
Gemmatimonadota,Gemmatimonadetes
Patescibacteria,Patescibacteria
Planctomycetota,Planctomycetes
Proteobacteria,Proteobacteria
Verrucomicrobiota,Verrucomicrobia
Others,Others
