Sample_Code,Description,Date,Plot,Sample_Category,Filter045_ml,Filter022_ml,DNA_TotalReads_STD,DNA_TotalReads_NonSTD,DNA_CopySum,Standard_curve_validity_16S,Standard_curve_validity_18S,Standard_curve_validity_ITS,Standard_curve_validity_COI,DADA2_Input_16S,DADA2_Input_18S,DADA2_Input_ITS,DADA2_Input_COI,DADA2_OutputProp_16S,DADA2_OutputProp_18S,DADA2_OutputProp_ITS,DADA2_OutputProp_COI,DNA_CopySum_16S,DNA_CopySum_18S,DNA_CopySum_ITS,DNA_CopySum_COI
S001,P1-5_22,2017-05-22,1,sample,200,30,20061,104870,2442606.4174785493,Valid,Valid,Valid,Valid,10402,23939,77986,22655,0.8813689675062488,0.9921467062116212,0.8944938835175544,0.9822997130876187,2242388.6630216376,175371.01798076121,24286.59179927446,560.1446768756865
S002,P1-5_24,2017-05-24,1,sample,200,30,10818,43036,2521915.044404546,Valid,Valid,Valid,Valid,8408,10957,41701,3157,0.8753568030447193,0.9896869581089714,0.7812522481475265,0.9727589483687045,2000480.952945672,511375.70950009447,9897.205063472453,161.17689530685922
S003,P1-5_25,2017-05-25,1,sample,200,30,12310,68008,4452513.4322164385,Valid,Valid,Valid,Valid,9692,18943,57833,4822,0.8609162195625258,0.9940875257351001,0.8378434457835492,0.972210700953961,2814317.467617077,1622246.8412994838,15911.744796676718,37.37850320142753
S004,P1-5_26,2017-05-26,1,sample,200,30,13832,45410,2478147.2595574334,Valid,Valid,Valid,Valid,9853,18965,31769,6196,0.7199837612909774,0.9943052992354336,0.8563064622745443,0.9824080051646223,1883990.0799118213,588222.1616676725,5619.657834434582,315.36014350545815
S005,P1-5_27,2017-05-27,1,sample,200,30,20083,39908,4711516.345413076,Valid,Valid,Valid,Valid,12683,18667,30160,2896,0.9455964677126862,0.9952322279959287,0.881001326259947,0.9837707182320442,657235.8832103059,4051485.788113695,2659.3864032787938,135.28768579707722
S006,P1-5_28,2017-05-28,1,sample,70,30,35441,54947,4460468.704457427,Valid,Valid,Valid,Valid,14024,23717,33215,25023,0.9494438106103822,0.9959101066745373,0.8690651813939485,0.9825760300523518,377630.6565082067,4080440.9825255517,1449.8251125535078,947.2403111156129
S007,P1-5_29,2017-05-29,1,sample,100,30,17561,25230,3291507.85248046,Valid,Invalid,Valid,Valid,12795,NA,12000,21915,0.8833137944509574,NA,0.8235833333333333,0.9859000684462697,477500.40006401035,2811593.032223924,952.9895654189655,1461.4306271067867
S008,P1-5_30,2017-05-30,1,sample,100,30,17264,52465,2312862.9581891163,Valid,Valid,Valid,Valid,14604,22102,13693,22973,0.9050260202684196,0.9968781105782282,0.8654787117505295,0.9849823706089758,766080.487110208,1542745.0819222964,1043.2604124725983,2994.1287441394556
S009,P1-5_31,2017-05-31,1,sample,100,30,19766,51266,1459951.2413859663,Valid,Valid,Valid,Valid,9069,26885,20381,19116,0.9009813650898666,0.9935279895852706,0.846425592463569,0.9886482527725465,610789.556635254,845983.6853129385,1457.0130318692388,1720.9864059046747
S010,P1-6_1,2017-06-01,1,sample,100,30,13907,58305,3268465.3625434325,Valid,Valid,Valid,Valid,8933,25926,26510,17225,0.9092130303369529,0.9940600169713801,0.804526593738212,0.9863570391872278,831622.365404951,2429128.647311359,3691.1604801687695,4023.1893469536676
S011,P1-6_2,2017-06-02,1,sample,100,30,13483,65949,2279447.921212463,Valid,Valid,Valid,Valid,10204,27196,39610,15368,0.7844962759702078,0.9911384027062803,0.7409997475385004,0.9839276418532015,845380.3623767648,1422425.6281042297,10521.179419283393,1120.7513121856937
S012,P1-6_3,2017-06-03,1,sample,100,30,20955,69513,9139291.770716023,Valid,Valid,Valid,Valid,13697,21634,48952,19112,0.8985179236329123,0.9923268928538411,0.7745546657950646,0.9824717455002093,2249081.7263544537,6878786.800486616,11206.121762529427,217.12211242281091
S013,P1-6_4,2017-06-04,1,sample,100,30,19132,55588,1003763.941578902,Valid,Valid,Valid,Valid,16762,23673,31366,10410,0.9437417969216084,0.9956912938791028,0.7997194414333992,0.9842459173871277,458157.5692417196,535845.5161156371,8182.496605136018,1578.3596164091632
S014,P1-6_5,2017-06-05,1,sample,100,30,15503,75490,1804681.9836183514,Valid,Valid,Valid,Valid,13473,25994,53234,10341,0.9365397461589846,0.9923828575825191,0.7976481196227975,0.9783386519678948,927482.656050409,862832.8240206693,13125.645689341578,1240.8578579315422
S015,P1-6_6,2017-06-06,1,sample,100,30,17509,74683,2133135.105694349,Valid,Valid,Valid,Valid,16051,25894,52857,12922,0.8973272693290137,0.995134007878273,0.7441587679966702,0.9818139606872002,1665650.9809463248,444262.2611523821,22892.720096146215,329.1434994960849
S016,P1-6_7,2017-06-07,1,sample,100,30,17736,78222,1340310.491740062,Valid,Valid,Valid,Valid,15985,22971,62168,9581,0.9127932436659368,0.995298419746637,0.7906157508686141,0.976202901576036,788425.087850069,531103.538049758,20249.35881525606,532.507024978719
S017,P1-6_8,2017-06-08,1,sample,100,30,21208,77085,1025238.197229048,Valid,Valid,Valid,Valid,14819,31913,42133,21269,0.906808826506512,0.9956757434274434,0.7637481309187573,0.9826978231228548,628030.2875058914,378286.52559006226,18109.817954000548,811.5661790938277
S018,P1-6_9,2017-06-09,1,sample,100,30,15235,55405,1318660.07929736,Valid,Valid,Valid,Valid,15877,17731,33771,12970,0.9186874094602255,0.99249901302803,0.7636137514435463,0.9767154973014649,1079840.0358154473,213378.02547864462,24598.785005185953,843.2329980821347
S019,P1-6_10,2017-06-10,1,sample,100,30,23586,56873,1779271.1214504363,Valid,Valid,Valid,Valid,14274,26580,26242,20951,0.9160711783662603,0.9944319036869826,0.7816858471153113,0.9755142952603695,1520042.0211441657,237767.77159759513,21215.369300352748,245.9594083227581
S020,P1-6_11,2017-06-11,1,sample,100,30,11371,52518,1687979.8600754738,Valid,Valid,Valid,Valid,13460,15453,19450,24586,0.8037890044576523,0.994823011712936,0.7000514138817481,0.9794598552021475,1385449.8823948924,268174.01333690714,32756.24787693502,1599.7164667393674
S021,P1-6_12,2017-06-12,1,sample,100,30,33722,35935,490130.8918742428,Valid,Valid,Valid,Valid,18704,19895,19390,17851,0.9173973481608212,0.9968333752199044,0.7799381124290872,0.9827460646462383,463296.8620733854,20890.92834310599,4615.809913041939,1327.2915447094977
S022,P1-6_13,2017-06-13,1,sample,100,30,31473,57154,2047820.5935539454,Valid,Valid,Valid,Valid,16686,25098,27558,27548,0.9032722042430781,0.9958960873376365,0.7865955439436824,0.9758603165384057,2007567.9494908242,32691.316318199766,6332.459124034647,1228.8686208867482
